Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4560953523,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
4560953524,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
4560953525,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4560953526,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4560953527,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
4560953528,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,
4560953529,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Craig Porter Jr. (37001448),Craig Porter Jr.,37001448,PG/G/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,CLE,7.16
,,,,,,,,,,,,,C,Tristan Thompson (37001494),Tristan Thompson,37001494,C/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,CLE,6.91
,,,,,,,,,,,,,PF,JT Thor (37001496),JT Thor,37001496,PF/F/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,CLE,10
,,,,,,,,,,,,,SF,Luke Travers (37001499),Luke Travers,37001499,SF/F/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,CLE,4.33
,,,,,,,,,,,,,PG,Emoni Bates (37001502),Emoni Bates,37001502,PG/G/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,CLE,0
,,,,,,,,,,,,,C,Richaun Holmes (37001606),Richaun Holmes,37001606,C/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,WAS,7.08
,,,,,,,,,,,,,PF,Patrick Baldwin Jr. (37001608),Patrick Baldwin Jr.,37001608,PF/F/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,WAS,4.64
,,,,,,,,,,,,,C,Adem Bona (37001451),Adem Bona,37001451,C/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,4.29
,,,,,,,,,,,,,PF/C,Pete Nance (37001453),Pete Nance,37001453,PF/C/F/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,0
,,,,,,,,,,,,,SF,Justin Edwards (37001457),Justin Edwards,37001457,SF/F/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,4
,,,,,,,,,,,,,SG/SF,Eric Gordon (37001460),Eric Gordon,37001460,SG/SF/F/G/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,9.73
,,,,,,,,,,,,,PG,Jeff Dowtin (37001465),Jeff Dowtin,37001465,PG/G/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,5.69
,,,,,,,,,,,,,PG,Reggie Jackson (37001468),Reggie Jackson,37001468,PG/G/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,PHI,10.58
,,,,,,,,,,,,,PF/C,James Johnson (37001566),James Johnson,37001566,PF/C/F/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,3.33
,,,,,,,,,,,,,PG/SG,Tristen Newton (37001570),Tristen Newton,37001570,PG/SG/G/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,0.8
,,,,,,,,,,,,,PF/C,Enrique Freeman (37001574),Enrique Freeman,37001574,PF/C/F/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,3.5
,,,,,,,,,,,,,SG/SF,Johnny Furphy (37001578),Johnny Furphy,37001578,SG/SF/F/G/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,7.1
,,,,,,,,,,,,,C,Isaiah Jackson (37001583),Isaiah Jackson,37001583,C/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,19.4
,,,,,,,,,,,,,C,James Wiseman (37001585),James Wiseman,37001585,C/UTIL,3000,IND@PHI 12/13/2024 07:00PM ET,IND,7.25
,,,,,,,,,,,,,PG/SG,Jevon Carter (37001546),Jevon Carter,37001546,PG/SG/G/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,3.91
,,,,,,,,,,,,,PG,DJ Steward (37001550),DJ Steward,37001550,PG/G/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,0
,,,,,,,,,,,,,SG,Chris Duarte (37001553),Chris Duarte,37001553,SG/G/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,4.54
,,,,,,,,,,,,,PF,Torrey Craig (37001556),Torrey Craig,37001556,PF/F/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,9.88
,,,,,,,,,,,,,C,E.J. Liddell (37001559),E.J. Liddell,37001559,C/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,5.04
,,,,,,,,,,,,,C,Adama Sanogo (37001561),Adama Sanogo,37001561,C/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,3.17
,,,,,,,,,,,,,SF,Dalen Terry (37001563),Dalen Terry,37001563,SF/F/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHI,8.91
,,,,,,,,,,,,,SG,Seth Curry (37001636),Seth Curry,37001636,SG/G/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHA,8.55
,,,,,,,,,,,,,SG/SF,Nick Smith Jr. (37001639),Nick Smith Jr.,37001639,SG/SF/F/G/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHA,6.25
,,,,,,,,,,,,,C,Grant Williams (37001644),Grant Williams,37001644,C/UTIL,3000,CHA@CHI 12/13/2024 08:00PM ET,CHA,24.09
,,,,,,,,,,,,,PF/C,Noah Clowney (37001440),Noah Clowney,37001440,PF/C/F/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,BKN,14.65
,,,,,,,,,,,,,PG,Yuki Kawamura (37001533),Yuki Kawamura,37001533,PG/G/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,MEM,2.15
,,,,,,,,,,,,,C,Colin Castleton (37001536),Colin Castleton,37001536,C/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,MEM,2.96
,,,,,,,,,,,,,SG/SF,Luke Kennard (37001538),Luke Kennard,37001538,SG/SF/F/G/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,MEM,15.96
,,,,,,,,,,,,,PF,Gregory Jackson (37001543),Gregory Jackson,37001543,PF/F/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,MEM,0
,,,,,,,,,,,,,SF,Cui Yongxi (37001627),Cui Yongxi,37001627,SF/F/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,BKN,1.1
,,,,,,,,,,,,,SF,Dariq Whitehead (37001630),Dariq Whitehead,37001630,SF/F/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,BKN,10.25
,,,,,,,,,,,,,SF,Jaylen Martin (37001633),Jaylen Martin,37001633,SF/F/UTIL,3000,BKN@MEM 12/13/2024 08:00PM ET,BKN,1.75
,,,,,,,,,,,,,C,Jesse Edwards (37001505),Jesse Edwards,37001505,C/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,0
,,,,,,,,,,,,,PF,PJ Dozier (37001507),PJ Dozier,37001507,PF/F/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,3.32
,,,,,,,,,,,,,PG,Daishen Nix (37001510),Daishen Nix,37001510,PG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,2.83
,,,,,,,,,,,,,PF/C,Leonard Miller (37001513),Leonard Miller,37001513,PF/C/F/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,0
,,,,,,,,,,,,,SG/SF,Terrence Shannon Jr. (37001517),Terrence Shannon Jr.,37001517,SG/SF/F/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,3.04
,,,,,,,,,,,,,SG,Jaylen Clark (37001522),Jaylen Clark,37001522,SG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,0
,,,,,,,,,,,,,C,Luka Garza (37001525),Luka Garza,37001525,C/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,5.54
,,,,,,,,,,,,,PG,Rob Dillingham (37001527),Rob Dillingham,37001527,PG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,6.75
,,,,,,,,,,,,,PF,Joe Ingles (37001530),Joe Ingles,37001530,PF/F/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,MIN,2.21
,,,,,,,,,,,,,PF,Maxwell Lewis (37001611),Maxwell Lewis,37001611,PF/F/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,LAL,1.5
,,,,,,,,,,,,,PF/C,Armel Traore (37001614),Armel Traore,37001614,PF/C/F/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,LAL,5.25
,,,,,,,,,,,,,PG,Quincy Olivari (37001618),Quincy Olivari,37001618,PG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,LAL,3
,,,,,,,,,,,,,PG,Bronny James (37001621),Bronny James,37001621,PG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,LAL,1.75
,,,,,,,,,,,,,PG,Jalen Hood-Schifino (37001624),Jalen Hood-Schifino,37001624,PG/G/UTIL,3000,LAL@MIN 12/13/2024 08:00PM ET,LAL,4.12
,,,,,,,,,,,,,C,Dario Saric (37001444),Dario Saric,37001444,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,10.48
,,,,,,,,,,,,,SG/SF,Spencer Jones (37001471),Spencer Jones,37001471,SG/SF/F/G/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,2.62
,,,,,,,,,,,,,C,DeAndre Jordan (37001476),DeAndre Jordan,37001476,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,8.22
,,,,,,,,,,,,,PG/SG,Trey Alexander (37001478),Trey Alexander,37001478,PG/SG/G/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,1.69
,,,,,,,,,,,,,SF/PF,Hunter Tyson (37001482),Hunter Tyson,37001482,SF/PF/F/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,6.23
,,,,,,,,,,,,,C,Zeke Nnaji (37001486),Zeke Nnaji,37001486,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,2.52
,,,,,,,,,,,,,C,PJ Hall (37001488),PJ Hall,37001488,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,1.05
,,,,,,,,,,,,,C,Vlatko Cancar (37001490),Vlatko Cancar,37001490,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,5.12
,,,,,,,,,,,,,C,DaRon Holmes II (37001492),DaRon Holmes II,37001492,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,DEN,0
,,,,,,,,,,,,,SG,Cam Christie (37001587),Cam Christie,37001587,SG/G/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,12.75
,,,,,,,,,,,,,PF/C,Kai Jones (37001590),Kai Jones,37001590,PF/C/F/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,6.70
,,,,,,,,,,,,,SG,Trentyn Flowers (37001594),Trentyn Flowers,37001594,SG/G/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,13.5
,,,,,,,,,,,,,C,Mo Bamba (37001597),Mo Bamba,37001597,C/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,14.68
,,,,,,,,,,,,,PF/C,Kobe Brown (37001599),Kobe Brown,37001599,PF/C/F/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,6.93
,,,,,,,,,,,,,PF,P.J. Tucker (37001603),P.J. Tucker,37001603,PF/F/UTIL,3000,LAC@DEN 12/13/2024 09:00PM ET,LAC,0
