Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4577501735,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Coby White (37117010),Jordan Clarkson (37117090) (LOCKED),Amen Thompson (37117035) (LOCKED),Jalen Johnson (37116806) (LOCKED),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),Jaime Jaquez Jr. (37117429) (LOCKED),Ryan Rollins (37117479),,1. Column A lists all of your contest entries for this draftgroup
4577501736,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Jordan Clarkson (37117090) (LOCKED),Jayson Tatum (37116775) (LOCKED),Bobby Portis (37116985),Jonas Valanciunas (37117253),Ryan Rollins (37117479),Jalen Williams (37116847),Amen Thompson (37117035) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4577501737,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Jordan Clarkson (37117090) (LOCKED),Isaiah Joe (37117556),Evan Mobley (37116872) (LOCKED),Alperen Sengun (37116820) (LOCKED),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Jonas Valanciunas (37117253),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4577501738,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Khris Middleton (37117017),Lauri Markkanen (37116951) (LOCKED),Julius Randle (37116895) (LOCKED),Bobby Portis (37116985),Ryan Rollins (37117479),Larry Nance Jr. (37117242) (LOCKED),Ivica Zubac (37116899),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4577501739,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Tyler Herro (37116885) (LOCKED),Amen Thompson (37117035) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Zach Edey (37117176),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Ryan Rollins (37117479),,5. For faster processing only include entries you are changing in the file you upload
4577501740,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Tyler Herro (37116885) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Jaren Jackson Jr. (37116906),Walker Kessler (37116993) (LOCKED),Ryan Rollins (37117479),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),,
4577501741,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Collin Sexton (37117064) (LOCKED),Lauri Markkanen (37116951) (LOCKED),Jayson Tatum (37116775) (LOCKED),Goga Bitadze (37116981) (LOCKED),Malcolm Brogdon (37117137),Bobby Portis (37116985),Coby White (37117010),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Moritz Wagner (37117200) (LOCKED),Moritz Wagner,37117200,C/UTIL,4700,In Progress,ORL,23.22
,,,,,,,,,,,,,SG/SF,Julian Champagnie (37117191) (LOCKED),Julian Champagnie,37117191,SG/SF/F/G/UTIL,4700,In Progress,SAS,24.47
,,,,,,,,,,,,,PF/C,Guerschon Yabusele (37117202) (LOCKED),Guerschon Yabusele,37117202,PF/C/F/UTIL,4700,In Progress,PHI,20.48
,,,,,,,,,,,,,PF,Tidjane Salaun (37117217) (LOCKED),Tidjane Salaun,37117217,PF/F/UTIL,4600,In Progress,CHA,13.57
,,,,,,,,,,,,,PG,Kevin Porter Jr. (37117209),Kevin Porter Jr.,37117209,PG/G/UTIL,4600,LAC@MEM 12/23/2024 08:00PM ET,LAC,20.57
,,,,,,,,,,,,,SF,Jalen Wilson (37117224) (LOCKED),Jalen Wilson,37117224,SF/F/UTIL,4600,BKN@MIA 12/23/2024 07:30PM ET,BKN,17.48
,,,,,,,,,,,,,PF/C,Al Horford (37117220) (LOCKED),Al Horford,37117220,PF/C/F/UTIL,4600,In Progress,BOS,22.73
,,,,,,,,,,,,,SG/SF,Luguentz Dort (37117212),Luguentz Dort,37117212,SG/SF/F/G/UTIL,4600,WAS@OKC 12/23/2024 08:00PM ET,OKC,23.20
,,,,,,,,,,,,,SF,Jaden McDaniels (37117227) (LOCKED),Jaden McDaniels,37117227,SF/F/UTIL,4500,MIN@ATL 12/23/2024 07:30PM ET,MIN,22.70
,,,,,,,,,,,,,PF/C,Larry Nance Jr. (37117242) (LOCKED),Larry Nance Jr.,37117242,PF/C/F/UTIL,4500,MIN@ATL 12/23/2024 07:30PM ET,ATL,20.94
,,,,,,,,,,,,,PG,Vasilije Micic (37117239) (LOCKED),Vasilije Micic,37117239,PG/G/UTIL,4500,In Progress,CHA,17.74
,,,,,,,,,,,,,SG/SF,Quentin Grimes (37117234),Quentin Grimes,37117234,SG/SF/F/G/UTIL,4500,POR@DAL 12/23/2024 08:30PM ET,DAL,18.08
,,,,,,,,,,,,,PF/C,Noah Clowney (37117230) (LOCKED),Noah Clowney,37117230,PF/C/F/UTIL,4500,BKN@MIA 12/23/2024 07:30PM ET,BKN,15.47
,,,,,,,,,,,,,SG,Kentavious Caldwell-Pope (37117246) (LOCKED),Kentavious Caldwell-Pope,37117246,SG/G/UTIL,4500,In Progress,ORL,18.73
,,,,,,,,,,,,,PG/SG,Stephon Castle (37117249) (LOCKED),Stephon Castle,37117249,PG/SG/G/UTIL,4500,In Progress,SAS,22.59
,,,,,,,,,,,,,C,Jonas Valanciunas (37117253),Jonas Valanciunas,37117253,C/UTIL,4500,WAS@OKC 12/23/2024 08:00PM ET,WAS,26.14
,,,,,,,,,,,,,C,Onyeka Okongwu (37117260) (LOCKED),Onyeka Okongwu,37117260,C/UTIL,4400,MIN@ATL 12/23/2024 07:30PM ET,ATL,24.52
,,,,,,,,,,,,,PF/C,Naz Reid (37117262) (LOCKED),Naz Reid,37117262,PF/C/F/UTIL,4400,MIN@ATL 12/23/2024 07:30PM ET,MIN,24.23
,,,,,,,,,,,,,SF/PF,Georges Niang (37117266) (LOCKED),Georges Niang,37117266,SF/PF/F/UTIL,4400,UTA@CLE 12/23/2024 07:00PM ET,CLE,17.18
,,,,,,,,,,,,,PG,Scoot Henderson (37117270),Scoot Henderson,37117270,PG/G/UTIL,4400,POR@DAL 12/23/2024 08:30PM ET,POR,22.66
,,,,,,,,,,,,,SG/SF,Bruce Brown (37117255) (LOCKED),Bruce Brown,37117255,SG/SF/F/G/UTIL,4400,TOR@NYK 12/23/2024 07:30PM ET,TOR,0
,,,,,,,,,,,,,PG/SG,AJ Green (37117283),AJ Green,37117283,PG/SG/G/UTIL,4300,MIL@CHI 12/23/2024 08:00PM ET,MIL,14.55
,,,,,,,,,,,,,C,Daniel Gafford (37117281),Daniel Gafford,37117281,C/UTIL,4300,POR@DAL 12/23/2024 08:30PM ET,DAL,24.92
,,,,,,,,,,,,,SF/PF,Jake LaRavia (37117287),Jake LaRavia,37117287,SF/PF/F/UTIL,4300,LAC@MEM 12/23/2024 08:00PM ET,MEM,22.42
,,,,,,,,,,,,,PF,Trendon Watford (37117278) (LOCKED),Trendon Watford,37117278,PF/F/UTIL,4300,BKN@MIA 12/23/2024 07:30PM ET,BKN,15.79
,,,,,,,,,,,,,PG/SG,Shake Milton (37117291) (LOCKED),Shake Milton,37117291,PG/SG/G/UTIL,4300,BKN@MIA 12/23/2024 07:30PM ET,BKN,13.10
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (37117273) (LOCKED),Ja'Kobe Walter,37117273,SG/SF/F/G/UTIL,4300,TOR@NYK 12/23/2024 07:30PM ET,TOR,16.62
,,,,,,,,,,,,,PF,Patrick Williams (37117308),Patrick Williams,37117308,PF/F/UTIL,4200,MIL@CHI 12/23/2024 08:00PM ET,CHI,22.10
,,,,,,,,,,,,,PF/C,Robert Williams (37117315),Robert Williams,37117315,PF/C/F/UTIL,4200,POR@DAL 12/23/2024 08:30PM ET,POR,19.98
,,,,,,,,,,,,,PG,Dru Smith (37117303) (LOCKED),Dru Smith,37117303,PG/G/UTIL,4200,BKN@MIA 12/23/2024 07:30PM ET,MIA,16.86
,,,,,,,,,,,,,SF/PF,Tristan da Silva (37117295) (LOCKED),Tristan da Silva,37117295,SF/PF/F/UTIL,4200,In Progress,ORL,15.80
,,,,,,,,,,,,,SF/PF,Keldon Johnson (37117299) (LOCKED),Keldon Johnson,37117299,SF/PF/F/UTIL,4200,In Progress,SAS,23.84
,,,,,,,,,,,,,PG/SG,Cason Wallace (37117311),Cason Wallace,37117311,PG/SG/G/UTIL,4200,WAS@OKC 12/23/2024 08:00PM ET,OKC,19.15
,,,,,,,,,,,,,SG/SF,Corey Kispert (37117319),Corey Kispert,37117319,SG/SF/F/G/UTIL,4200,WAS@OKC 12/23/2024 08:00PM ET,WAS,19.73
,,,,,,,,,,,,,C,Bruno Fernando (37117306) (LOCKED),Bruno Fernando,37117306,C/UTIL,4200,TOR@NYK 12/23/2024 07:30PM ET,TOR,10.41
,,,,,,,,,,,,,PG/SG,Donte DiVincenzo (37117328) (LOCKED),Donte DiVincenzo,37117328,PG/SG/G/UTIL,4100,MIN@ATL 12/23/2024 07:30PM ET,MIN,21.23
,,,,,,,,,,,,,PG,Tre Mann (37117347) (LOCKED),Tre Mann,37117347,PG/G/UTIL,4100,In Progress,CHA,23.88
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (37117332),Gary Trent Jr.,37117332,SG/SF/F/G/UTIL,4100,MIL@CHI 12/23/2024 08:00PM ET,MIL,16.06
,,,,,,,,,,,,,PG/SG,Marcus Smart (37117343),Marcus Smart,37117343,PG/SG/G/UTIL,4100,LAC@MEM 12/23/2024 08:00PM ET,MEM,20.92
,,,,,,,,,,,,,PG/SG,Keon Johnson (37117350) (LOCKED),Keon Johnson,37117350,PG/SG/G/UTIL,4100,BKN@MIA 12/23/2024 07:30PM ET,BKN,12.88
,,,,,,,,,,,,,SG,Duncan Robinson (37117354) (LOCKED),Duncan Robinson,37117354,SG/G/UTIL,4100,BKN@MIA 12/23/2024 07:30PM ET,MIA,19.64
,,,,,,,,,,,,,SF/PF,Harrison Barnes (37117324) (LOCKED),Harrison Barnes,37117324,SF/PF/F/UTIL,4100,In Progress,SAS,19.84
,,,,,,,,,,,,,C,Charles Bassey (37117337) (LOCKED),Charles Bassey,37117337,C/UTIL,4100,In Progress,SAS,14.25
,,,,,,,,,,,,,SF/PF,Caleb Martin (37117339) (LOCKED),Caleb Martin,37117339,SF/PF/F/UTIL,4100,In Progress,PHI,20.06
,,,,,,,,,,,,,SF/PF,Isaac Okoro (37117382) (LOCKED),Isaac Okoro,37117382,SF/PF/F/UTIL,4000,UTA@CLE 12/23/2024 07:00PM ET,CLE,14.80
,,,,,,,,,,,,,C,Donovan Clingan (37117370),Donovan Clingan,37117370,C/UTIL,4000,POR@DAL 12/23/2024 08:30PM ET,POR,19.36
,,,,,,,,,,,,,PG/SG,Kris Dunn (37117357),Kris Dunn,37117357,PG/SG/G/UTIL,4000,LAC@MEM 12/23/2024 08:00PM ET,LAC,19.22
,,,,,,,,,,,,,PF/C,Brandon Clarke (37117386),Brandon Clarke,37117386,PF/C/F/UTIL,4000,LAC@MEM 12/23/2024 08:00PM ET,MEM,17.62
,,,,,,,,,,,,,SF/PF,Sam Hauser (37117361) (LOCKED),Sam Hauser,37117361,SF/PF/F/UTIL,4000,In Progress,BOS,17.71
,,,,,,,,,,,,,PF,KJ Martin (37117379) (LOCKED),KJ Martin,37117379,PF/F/UTIL,4000,In Progress,PHI,13.46
,,,,,,,,,,,,,SG/SF,Alex Caruso (37117365),Alex Caruso,37117365,SG/SF/F/G/UTIL,4000,WAS@OKC 12/23/2024 08:00PM ET,OKC,17.69
,,,,,,,,,,,,,PF,Chris Boucher (37117372) (LOCKED),Chris Boucher,37117372,PF/F/UTIL,4000,TOR@NYK 12/23/2024 07:30PM ET,TOR,19.38
,,,,,,,,,,,,,PG/SG,Davion Mitchell (37117375) (LOCKED),Davion Mitchell,37117375,PG/SG/G/UTIL,4000,TOR@NYK 12/23/2024 07:30PM ET,TOR,18.75
,,,,,,,,,,,,,PG/SG,Lonzo Ball (37117397),Lonzo Ball,37117397,PG/SG/G/UTIL,3900,MIL@CHI 12/23/2024 08:00PM ET,CHI,17.85
,,,,,,,,,,,,,SF/PF,Taurean Prince (37117401),Taurean Prince,37117401,SF/PF/F/UTIL,3900,MIL@CHI 12/23/2024 08:00PM ET,MIL,17.64
,,,,,,,,,,,,,PG,Ty Jerome (37117405) (LOCKED),Ty Jerome,37117405,PG/G/UTIL,3900,UTA@CLE 12/23/2024 07:00PM ET,CLE,21.38
,,,,,,,,,,,,,PG/SG,Dalano Banton (37117413),Dalano Banton,37117413,PG/SG/G/UTIL,3900,POR@DAL 12/23/2024 08:30PM ET,POR,19.32
,,,,,,,,,,,,,SG/SF,Jaylen Wells (37117390),Jaylen Wells,37117390,SG/SF/F/G/UTIL,3900,LAC@MEM 12/23/2024 08:00PM ET,MEM,19.75
,,,,,,,,,,,,,PF,Vince Williams Jr. (37117408),Vince Williams Jr.,37117408,PF/F/UTIL,3900,LAC@MEM 12/23/2024 08:00PM ET,MEM,14.75
,,,,,,,,,,,,,C,Day'Ron Sharpe (37117395) (LOCKED),Day'Ron Sharpe,37117395,C/UTIL,3900,BKN@MIA 12/23/2024 07:30PM ET,BKN,17.68
,,,,,,,,,,,,,C,Mitchell Robinson (37117411) (LOCKED),Mitchell Robinson,37117411,C/UTIL,3900,TOR@NYK 12/23/2024 07:30PM ET,NYK,0
,,,,,,,,,,,,,C,Jalen Smith (37117420),Jalen Smith,37117420,C/UTIL,3800,MIL@CHI 12/23/2024 08:00PM ET,CHI,18.21
,,,,,,,,,,,,,SF,Talen Horton-Tucker (37117433),Talen Horton-Tucker,37117433,SF/F/UTIL,3800,MIL@CHI 12/23/2024 08:00PM ET,CHI,13.12
,,,,,,,,,,,,,PG/SG,Jaden Hardy (37117436),Jaden Hardy,37117436,PG/SG/G/UTIL,3800,POR@DAL 12/23/2024 08:30PM ET,DAL,11.16
,,,,,,,,,,,,,SG,Bojan Bogdanovic (37117417) (LOCKED),Bojan Bogdanovic,37117417,SG/G/UTIL,3800,BKN@MIA 12/23/2024 07:30PM ET,BKN,0
,,,,,,,,,,,,,SF/PF,Jaime Jaquez Jr. (37117429) (LOCKED),Jaime Jaquez Jr.,37117429,SF/PF/F/UTIL,3800,BKN@MIA 12/23/2024 07:30PM ET,MIA,19.57
,,,,,,,,,,,,,PG,Jamal Shead (37117422) (LOCKED),Jamal Shead,37117422,PG/G/UTIL,3800,TOR@NYK 12/23/2024 07:30PM ET,TOR,12.30
,,,,,,,,,,,,,PG/SG,Miles McBride (37117425) (LOCKED),Miles McBride,37117425,PG/SG/G/UTIL,3800,TOR@NYK 12/23/2024 07:30PM ET,NYK,20.65
,,,,,,,,,,,,,SG/SF,Nickeil Alexander-Walker (37117451) (LOCKED),Nickeil Alexander-Walker,37117451,SG/SF/F/G/UTIL,3700,MIN@ATL 12/23/2024 07:30PM ET,MIN,18.98
,,,,,,,,,,,,,SF/PF,Dean Wade (37117440) (LOCKED),Dean Wade,37117440,SF/PF/F/UTIL,3700,UTA@CLE 12/23/2024 07:00PM ET,CLE,17.37
,,,,,,,,,,,,,C,Luke Kornet (37117444) (LOCKED),Luke Kornet,37117444,C/UTIL,3700,In Progress,BOS,15.62
,,,,,,,,,,,,,SG/SF,Ricky Council IV (37117446) (LOCKED),Ricky Council IV,37117446,SG/SF/F/G/UTIL,3700,In Progress,PHI,10.42
,,,,,,,,,,,,,SF,Zaccharie Risacher (37117456) (LOCKED),Zaccharie Risacher,37117456,SF/F/UTIL,3600,MIN@ATL 12/23/2024 07:30PM ET,ATL,19.62
,,,,,,,,,,,,,SG/SF,Andre Jackson Jr. (37117461),Andre Jackson Jr.,37117461,SG/SF/F/G/UTIL,3600,MIL@CHI 12/23/2024 08:00PM ET,MIL,11.35
,,,,,,,,,,,,,PF,Derrick Jones Jr. (37117466),Derrick Jones Jr.,37117466,PF/F/UTIL,3600,LAC@MEM 12/23/2024 08:00PM ET,LAC,18.51
,,,,,,,,,,,,,SG/SF,Tyrese Martin (37117469) (LOCKED),Tyrese Martin,37117469,SG/SF/F/G/UTIL,3600,BKN@MIA 12/23/2024 07:30PM ET,BKN,13.65
,,,,,,,,,,,,,C,Zach Collins (37117459) (LOCKED),Zach Collins,37117459,C/UTIL,3600,In Progress,SAS,14.35
,,,,,,,,,,,,,PG,Keaton Wallace (37117497) (LOCKED),Keaton Wallace,37117497,PG/G/UTIL,3500,MIN@ATL 12/23/2024 07:30PM ET,ATL,11.75
,,,,,,,,,,,,,PG/SG,Isaiah Wong (37117500) (LOCKED),Isaiah Wong,37117500,PG/SG/G/UTIL,3500,In Progress,CHA,15.54
,,,,,,,,,,,,,PG,Ryan Rollins (37117479),Ryan Rollins,37117479,PG/G/UTIL,3500,MIL@CHI 12/23/2024 08:00PM ET,MIL,9.27
,,,,,,,,,,,,,SF/PF,Matas Buzelis (37117486),Matas Buzelis,37117486,SF/PF/F/UTIL,3500,MIL@CHI 12/23/2024 08:00PM ET,CHI,11.68
,,,,,,,,,,,,,SG,Sam Merrill (37117490) (LOCKED),Sam Merrill,37117490,SG/G/UTIL,3500,UTA@CLE 12/23/2024 07:00PM ET,CLE,13.81
,,,,,,,,,,,,,SG/SF,Luke Kennard (37117474),Luke Kennard,37117474,SG/SF/F/G/UTIL,3500,LAC@MEM 12/23/2024 08:00PM ET,MEM,16.57
,,,,,,,,,,,,,SF/PF,Amir Coffey (37117493),Amir Coffey,37117493,SF/PF/F/UTIL,3500,LAC@MEM 12/23/2024 08:00PM ET,LAC,17.04
,,,,,,,,,,,,,PF/C,Jonathan Isaac (37117504) (LOCKED),Jonathan Isaac,37117504,PF/C/F/UTIL,3500,In Progress,ORL,16.77
,,,,,,,,,,,,,PF/C,Precious Achiuwa (37117482) (LOCKED),Precious Achiuwa,37117482,PF/C/F/UTIL,3500,TOR@NYK 12/23/2024 07:30PM ET,NYK,18.46
,,,,,,,,,,,,,PF,DaQuan Jeffries (37117520) (LOCKED),DaQuan Jeffries,37117520,PF/F/UTIL,3400,In Progress,CHA,20.5
,,,,,,,,,,,,,PG,Delon Wright (37117512),Delon Wright,37117512,PG/G/UTIL,3400,MIL@CHI 12/23/2024 08:00PM ET,MIL,9.55
,,,,,,,,,,,,,SG/SF,Terance Mann (37117515),Terance Mann,37117515,SG/SF/F/G/UTIL,3400,LAC@MEM 12/23/2024 08:00PM ET,LAC,15.14
,,,,,,,,,,,,,SF/PF,Haywood Highsmith (37117508) (LOCKED),Haywood Highsmith,37117508,SF/PF/F/UTIL,3400,BKN@MIA 12/23/2024 07:30PM ET,MIA,15.77
,,,,,,,,,,,,,SG/SF,Gary Harris (37117523) (LOCKED),Gary Harris,37117523,SG/SF/F/G/UTIL,3400,In Progress,ORL,8.31
,,,,,,,,,,,,,PG/SG,Vit Krejci (37117547) (LOCKED),Vit Krejci,37117547,PG/SG/G/UTIL,3300,MIN@ATL 12/23/2024 07:30PM ET,ATL,8.45
,,,,,,,,,,,,,C,Moussa Diabate (37117551) (LOCKED),Moussa Diabate,37117551,C/UTIL,3300,In Progress,CHA,16.30
,,,,,,,,,,,,,PG,Aaron Holiday (37117561) (LOCKED),Aaron Holiday,37117561,PG/G/UTIL,3300,In Progress,HOU,8.24
,,,,,,,,,,,,,SG/SF,Svi Mykhailiuk (37117538) (LOCKED),Svi Mykhailiuk,37117538,SG/SF/F/G/UTIL,3300,UTA@CLE 12/23/2024 07:00PM ET,UTA,12.5
,,,,,,,,,,,,,PF/C,Nikola Jovic (37117543) (LOCKED),Nikola Jovic,37117543,PF/C/F/UTIL,3300,BKN@MIA 12/23/2024 07:30PM ET,MIA,15.97
,,,,,,,,,,,,,C,Neemias Queta (37117532) (LOCKED),Neemias Queta,37117532,C/UTIL,3300,In Progress,BOS,14.52
,,,,,,,,,,,,,PG,Trevelin Queen (37117553) (LOCKED),Trevelin Queen,37117553,PG/G/UTIL,3300,In Progress,ORL,5.56
,,,,,,,,,,,,,PG/SG,Kyle Lowry (37117534) (LOCKED),Kyle Lowry,37117534,PG/SG/G/UTIL,3300,In Progress,PHI,13.68
,,,,,,,,,,,,,SF/PF,Kyshawn George (37117528),Kyshawn George,37117528,SF/PF/F/UTIL,3300,WAS@OKC 12/23/2024 08:00PM ET,WAS,18.89
,,,,,,,,,,,,,SG/SF,Isaiah Joe (37117556),Isaiah Joe,37117556,SG/SF/F/G/UTIL,3300,WAS@OKC 12/23/2024 08:00PM ET,OKC,16.64
,,,,,,,,,,,,,PF,David Roddy (37117591) (LOCKED),David Roddy,37117591,PF/F/UTIL,3200,MIN@ATL 12/23/2024 07:30PM ET,ATL,11.83
,,,,,,,,,,,,,C,Steven Adams (37117601) (LOCKED),Steven Adams,37117601,C/UTIL,3200,In Progress,HOU,8.63
,,,,,,,,,,,,,PF,Julian Phillips (37117572),Julian Phillips,37117572,PF/F/UTIL,3200,MIL@CHI 12/23/2024 08:00PM ET,CHI,10.57
,,,,,,,,,,,,,SF/PF,Brice Sensabaugh (37117568) (LOCKED),Brice Sensabaugh,37117568,SF/PF/F/UTIL,3200,UTA@CLE 12/23/2024 07:00PM ET,UTA,14.36
,,,,,,,,,,,,,SG/SF,Jaylon Tyson (37117575) (LOCKED),Jaylon Tyson,37117575,SG/SF/F/G/UTIL,3200,UTA@CLE 12/23/2024 07:00PM ET,CLE,6.05
,,,,,,,,,,,,,PF/C,Maxi Kleber (37117564),Maxi Kleber,37117564,PF/C/F/UTIL,3200,POR@DAL 12/23/2024 08:30PM ET,DAL,7
,,,,,,,,,,,,,SG/SF,John Konchar (37117580),John Konchar,37117580,SG/SF/F/G/UTIL,3200,LAC@MEM 12/23/2024 08:00PM ET,MEM,9.4
,,,,,,,,,,,,,PF/C,Nicolas Batum (37117585),Nicolas Batum,37117585,PF/C/F/UTIL,3200,LAC@MEM 12/23/2024 08:00PM ET,LAC,11.16
,,,,,,,,,,,,,C,Kevin Love (37117589) (LOCKED),Kevin Love,37117589,C/UTIL,3200,BKN@MIA 12/23/2024 07:30PM ET,MIA,15.5
,,,,,,,,,,,,,PG,Cory Joseph (37117594) (LOCKED),Cory Joseph,37117594,PG/G/UTIL,3200,In Progress,ORL,4.48
,,,,,,,,,,,,,PG,Tre Jones (37117603) (LOCKED),Tre Jones,37117603,PG/G/UTIL,3200,In Progress,SAS,13.4
,,,,,,,,,,,,,PF/C,Kenrich Williams (37117597),Kenrich Williams,37117597,PF/C/F/UTIL,3200,WAS@OKC 12/23/2024 08:00PM ET,OKC,12.58
,,,,,,,,,,,,,PG/SG,Reed Sheppard (37117625) (LOCKED),Reed Sheppard,37117625,PG/SG/G/UTIL,3100,In Progress,HOU,8.65
,,,,,,,,,,,,,SG/SF,Johnny Juzang (37117620) (LOCKED),Johnny Juzang,37117620,SG/SF/F/G/UTIL,3100,UTA@CLE 12/23/2024 07:00PM ET,UTA,12.52
,,,,,,,,,,,,,C,Mo Bamba (37117615),Mo Bamba,37117615,C/UTIL,3100,LAC@MEM 12/23/2024 08:00PM ET,LAC,13.80
,,,,,,,,,,,,,SF,Pelle Larsson (37117617) (LOCKED),Pelle Larsson,37117617,SF/F/UTIL,3100,BKN@MIA 12/23/2024 07:30PM ET,MIA,11.88
,,,,,,,,,,,,,SG/SF,Eric Gordon (37117610) (LOCKED),Eric Gordon,37117610,SG/SF/F/G/UTIL,3100,In Progress,PHI,9.97
,,,,,,,,,,,,,SF/PF,Aaron Wiggins (37117606),Aaron Wiggins,37117606,SF/PF/F/UTIL,3100,WAS@OKC 12/23/2024 08:00PM ET,OKC,17.17
,,,,,,,,,,,,,SF,Josh Minott (37117660) (LOCKED),Josh Minott,37117660,SF/F/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,6.29
,,,,,,,,,,,,,SG/SF,Garrison Mathews (37117816) (LOCKED),Garrison Mathews,37117816,SG/SF/F/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,ATL,13.45
,,,,,,,,,,,,,C,Mouhamed Gueye (37117821) (LOCKED),Mouhamed Gueye,37117821,C/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,ATL,2
,,,,,,,,,,,,,C,Dominick Barlow (37117823) (LOCKED),Dominick Barlow,37117823,C/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,ATL,2.58
,,,,,,,,,,,,,PG,Kobe Bufkin (37117825) (LOCKED),Kobe Bufkin,37117825,PG/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,ATL,11.28
,,,,,,,,,,,,,C,Cody Zeller (37117828) (LOCKED),Cody Zeller,37117828,C/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,ATL,0
,,,,,,,,,,,,,C,Jesse Edwards (37118029) (LOCKED),Jesse Edwards,37118029,C/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,0
,,,,,,,,,,,,,PF,PJ Dozier (37118031) (LOCKED),PJ Dozier,37118031,PF/F/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,2.91
,,,,,,,,,,,,,PG,Daishen Nix (37118034) (LOCKED),Daishen Nix,37118034,PG/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,2.83
,,,,,,,,,,,,,PF/C,Leonard Miller (37118037) (LOCKED),Leonard Miller,37118037,PF/C/F/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,0
,,,,,,,,,,,,,SG/SF,Terrence Shannon Jr. (37118041) (LOCKED),Terrence Shannon Jr.,37118041,SG/SF/F/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,3.11
,,,,,,,,,,,,,SG,Jaylen Clark (37118046) (LOCKED),Jaylen Clark,37118046,SG/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,0
,,,,,,,,,,,,,PG,Rob Dillingham (37118049) (LOCKED),Rob Dillingham,37118049,PG/G/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,7.55
,,,,,,,,,,,,,C,Luka Garza (37118052) (LOCKED),Luka Garza,37118052,C/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,5.75
,,,,,,,,,,,,,PF,Joe Ingles (37118054) (LOCKED),Joe Ingles,37118054,PF/F/UTIL,3000,MIN@ATL 12/23/2024 07:30PM ET,MIN,2.21
,,,,,,,,,,,,,PF/C,Jeff Green (37117638) (LOCKED),Jeff Green,37117638,PF/C/F/UTIL,3000,In Progress,HOU,4
,,,,,,,,,,,,,SG,Jack McVeigh (37117647) (LOCKED),Jack McVeigh,37117647,SG/G/UTIL,3000,In Progress,HOU,2.83
,,,,,,,,,,,,,C,N'Faly Dante (37117650) (LOCKED),N'Faly Dante,37117650,C/UTIL,3000,In Progress,HOU,0
,,,,,,,,,,,,,SF/PF,Cam Whitmore (37117652) (LOCKED),Cam Whitmore,37117652,SF/PF/F/UTIL,3000,In Progress,HOU,9.45
,,,,,,,,,,,,,SG,Seth Curry (37117667) (LOCKED),Seth Curry,37117667,SG/G/UTIL,3000,In Progress,CHA,8.60
,,,,,,,,,,,,,C,Taj Gibson (37117761) (LOCKED),Taj Gibson,37117761,C/UTIL,3000,In Progress,CHA,8.41
,,,,,,,,,,,,,PG,KJ Simpson (37117763) (LOCKED),KJ Simpson,37117763,PG/G/UTIL,3000,In Progress,CHA,10.19
,,,,,,,,,,,,,SG/SF,Nick Smith Jr. (37117766) (LOCKED),Nick Smith Jr.,37117766,SG/SF/F/G/UTIL,3000,In Progress,CHA,6.25
,,,,,,,,,,,,,C,Grant Williams (37117771) (LOCKED),Grant Williams,37117771,C/UTIL,3000,In Progress,CHA,24.09
